txn_date,narration,utr,credit_amount,running_balance
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0051/MDR2PCT,UTR9026STD0051,10540.63,2994497.48
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0052/MDR2PCT,UTR9026STD0052,611.07,2995108.55
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0053/MDR2PCT,UTR9026STD0053,4400.13,2999508.68
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0054/MDR2PCT,UTR9026STD0054,9273.59,3008782.27
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0055/MDR2PCT,UTR9026STD0055,4148.86,3012931.13
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0056/MDR2PCT,UTR9026STD0056,4640.29,3017571.42
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0057/MDR2PCT,UTR9026STD0057,3741.73,3021313.15
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0058/MDR2PCT,UTR9026STD0058,6542.09,3027855.24
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0059/MDR2PCT,UTR9026STD0059,11993.98,3039849.22
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0060/MDR2PCT,UTR9026STD0060,7367.78,3047217.0
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0061/MDR2PCT,UTR9026STD0061,4736.99,3051953.99
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0062/MDR2PCT,UTR9026STD0062,2883.5,3054837.49
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0063/MDR2PCT,UTR9026STD0063,4756.64,3059594.13
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0064/MDR2PCT,UTR9026STD0064,2161.16,3061755.29
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0065/MDR2PCT,UTR9026STD0065,17045.43,3078800.72
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0066/MDR2PCT,UTR9026STD0066,7432.6,3086233.32
2026-08-26,CMS/RAZORPAY SETTLEMENT/UTR9026STD0067/MDR2PCT,UTR9026STD0067,15908.24,3102141.56
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0068/MDR2PCT,UTR9026STD0068,17324.17,3119465.73
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0069/MDR2PCT,UTR9026STD0069,5362.25,3124827.98
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0070/MDR2PCT,UTR9026STD0070,11797.59,3136625.57
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0071/MDR2PCT,UTR9026STD0071,5558.05,3142183.62
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0072/MDR2PCT,UTR9026STD0072,1529.78,3143713.4
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0073/MDR2PCT,UTR9026STD0073,10470.05,3154183.45
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0074/MDR2PCT,UTR9026STD0074,1460.1,3155643.55
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0075/MDR2PCT,UTR9026STD0075,1659.02,3157302.57
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0076/MDR2PCT,UTR9026STD0076,7387.51,3164690.08
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026STD0077/MDR2PCT,UTR9026STD0077,11071.58,3175761.66
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0078/MDR2PCT,UTR9026STD0078,5894.01,3181655.67
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0079/MDR2PCT,UTR9026STD0079,4566.62,3186222.29
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0080/MDR2PCT,UTR9026STD0080,8300.79,3194523.08
2026-08-27,CMS/RAZORPAY SETTLEMENT/UTR9026STD0081/MDR2PCT,UTR9026STD0081,8318.93,3202842.01
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026STD0082/MDR2PCT,UTR9026STD0082,9674.76,3212516.77
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026FEE001/CUSTOM_TIER,UTR9026FEE001,70066.74,3282583.51
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026FEE002/CUSTOM_TIER,UTR9026FEE002,67236.01,3349819.52
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026FEE003/CUSTOM_TIER,UTR9026FEE003,67149.89,3416969.41
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026FEE004/CUSTOM_TIER,UTR9026FEE004,39610.26,3456579.67
2026-08-28,CMS/RAZORPAY SETTLEMENT/UTR9026FEE005/CUSTOM_TIER,UTR9026FEE005,28168.51,3484748.18
2026-08-30,CMS/RAZORPAY BATCH PAYOUT/UTR9026BAT001/MULTI_ORDER,UTR9026BAT001,17468.97,3502217.15
2026-08-30,CMS/RAZORPAY BATCH PAYOUT/UTR9026BAT002/MULTI_ORDER,UTR9026BAT002,17396.34,3519613.49
2026-08-31,CMS/RAZORPAY BATCH PAYOUT/UTR9026BAT003/MULTI_ORDER,UTR9026BAT003,11988.97,3531602.46
