order_id,created_at,amount,status
ORD_STD_0032,2026-08-23 02:35:00,9759.5,SUCCESS
ORD_STD_0033,2026-08-23 04:34:00,12429.93,SUCCESS
ORD_STD_0034,2026-08-23 06:21:00,13950.48,SUCCESS
ORD_STD_0035,2026-08-23 08:29:00,8108.39,SUCCESS
ORD_STD_0036,2026-08-23 10:48:00,17508.04,SUCCESS
ORD_STD_0037,2026-08-23 12:40:00,16470.99,SUCCESS
ORD_STD_0038,2026-08-23 14:09:00,11156.98,SUCCESS
ORD_STD_0039,2026-08-23 16:49:00,9939.13,SUCCESS
ORD_STD_0040,2026-08-23 18:31:00,10981.53,SUCCESS
ORD_STD_0041,2026-08-23 20:19:00,16759.23,SUCCESS
ORD_STD_0042,2026-08-23 22:36:00,4715.25,SUCCESS
ORD_STD_0043,2026-08-24 00:04:00,13308.38,SUCCESS
ORD_STD_0044,2026-08-24 02:08:00,13902.1,SUCCESS
ORD_STD_0045,2026-08-24 04:10:00,17069.85,SUCCESS
ORD_STD_0046,2026-08-24 06:27:00,15767.58,SUCCESS
ORD_STD_0047,2026-08-24 08:44:00,13717.14,SUCCESS
ORD_STD_0048,2026-08-24 10:42:00,7482.37,SUCCESS
ORD_STD_0049,2026-08-24 12:33:00,8166.75,SUCCESS
ORD_STD_0050,2026-08-24 14:04:00,4838.35,SUCCESS
ORD_STD_0051,2026-08-24 16:14:00,10795.4,SUCCESS
ORD_STD_0052,2026-08-24 18:45:00,625.84,SUCCESS
ORD_STD_0053,2026-08-24 20:02:00,4506.48,SUCCESS
ORD_STD_0054,2026-08-24 22:17:00,9497.73,SUCCESS
ORD_STD_0055,2026-08-25 00:08:00,4249.14,SUCCESS
ORD_STD_0056,2026-08-25 02:30:00,4752.45,SUCCESS
ORD_STD_0057,2026-08-25 04:06:00,3832.17,SUCCESS
ORD_STD_0058,2026-08-25 06:26:00,6700.21,SUCCESS
ORD_STD_0059,2026-08-25 08:41:00,12283.88,SUCCESS
ORD_STD_0060,2026-08-25 10:21:00,7545.87,SUCCESS
ORD_STD_0061,2026-08-25 12:12:00,4851.49,SUCCESS
ORD_STD_0062,2026-08-25 14:11:00,2953.19,SUCCESS
ORD_STD_0063,2026-08-25 16:04:00,4871.61,SUCCESS
ORD_STD_0064,2026-08-25 18:41:00,2213.4,SUCCESS
ORD_STD_0065,2026-08-25 20:48:00,17457.43,SUCCESS
ORD_STD_0066,2026-08-25 22:30:00,7612.25,SUCCESS
ORD_STD_0067,2026-08-26 00:10:00,16292.75,SUCCESS
ORD_STD_0068,2026-08-26 02:16:00,17742.9,SUCCESS
ORD_STD_0069,2026-08-26 04:44:00,5491.86,SUCCESS
ORD_STD_0070,2026-08-26 06:31:00,12082.75,SUCCESS
ORD_STD_0071,2026-08-26 08:03:00,5692.39,SUCCESS
ORD_STD_0072,2026-08-26 10:20:00,1566.76,SUCCESS
ORD_STD_0073,2026-08-26 12:32:00,10723.11,SUCCESS
ORD_STD_0074,2026-08-26 14:32:00,1495.39,SUCCESS
ORD_STD_0075,2026-08-26 16:04:00,1699.12,SUCCESS
ORD_STD_0076,2026-08-26 18:36:00,7566.07,SUCCESS
ORD_STD_0077,2026-08-26 20:26:00,11339.18,SUCCESS
ORD_STD_0078,2026-08-26 22:16:00,6036.47,SUCCESS
ORD_STD_0079,2026-08-27 00:25:00,4677.0,SUCCESS
ORD_STD_0080,2026-08-27 02:48:00,8501.43,SUCCESS
ORD_STD_0081,2026-08-27 04:36:00,8520.0,SUCCESS
ORD_STD_0082,2026-08-27 06:32:00,9908.6,SUCCESS
ORD_FEE_001,2026-08-27 13:00:00,71329.27,SUCCESS
ORD_FEE_002,2026-08-27 16:00:00,68447.53,SUCCESS
ORD_FEE_003,2026-08-27 19:00:00,68359.86,SUCCESS
ORD_FEE_004,2026-08-27 22:00:00,40323.99,SUCCESS
ORD_FEE_005,2026-08-28 01:00:00,28676.08,SUCCESS
ORD_BAT_01A,2026-08-29 14:00:00,10669.96,SUCCESS
ORD_BAT_01B,2026-08-29 14:15:00,7221.24,SUCCESS
ORD_BAT_02A,2026-08-29 18:00:00,8893.42,SUCCESS
ORD_BAT_02B,2026-08-29 18:15:00,8923.4,SUCCESS
ORD_BAT_03A,2026-08-29 22:00:00,9231.81,SUCCESS
ORD_BAT_03B,2026-08-29 22:15:00,3046.94,SUCCESS
ORD_INF_001,2026-09-03 05:00:00,11988.15,SUCCESS
ORD_INF_002,2026-09-03 06:00:00,6293.17,SUCCESS
ORD_INF_003,2026-09-03 07:00:00,10297.28,SUCCESS
ORD_INF_004,2026-09-03 09:00:00,5400.0,SUCCESS
ORD_CHG_001,2026-08-26 15:00:00,2019.43,DISPUTED
ORD_CHG_002,2026-08-26 20:00:00,1981.66,DISPUTED
ORD_CHG_003,2026-08-27 01:00:00,3989.51,DISPUTED
