payment_id,order_id,gross_amount,fee,tax,net_settled,utr,settlement_date
pay_std_0018,ORD_STD_0018,6717.24,134.34,24.18,6558.72,UTR9026STD0018,2026-08-22 14:42:00
pay_std_0019,ORD_STD_0019,11159.79,223.2,40.18,10896.41,UTR9026STD0019,2026-08-22 20:10:00
pay_std_0020,ORD_STD_0020,3359.54,67.19,12.09,3280.26,UTR9026STD0020,2026-08-22 18:24:00
pay_std_0021,ORD_STD_0021,4343.27,86.87,15.64,4240.76,UTR9026STD0021,2026-08-23 04:20:00
pay_std_0022,ORD_STD_0022,4508.34,90.17,16.23,4401.94,UTR9026STD0022,2026-08-23 06:02:00
pay_std_0023,ORD_STD_0023,7520.38,150.41,27.07,7342.9,UTR9026STD0023,2026-08-22 23:04:00
pay_std_0024,ORD_STD_0024,4220.96,84.42,15.2,4121.34,UTR9026STD0024,2026-08-23 04:31:00
pay_std_0025,ORD_STD_0025,3000.25,60.01,10.8,2929.44,UTR9026STD0025,2026-08-23 03:08:00
pay_std_0026,ORD_STD_0026,9932.1,198.64,35.76,9697.7,UTR9026STD0026,2026-08-23 11:47:00
pay_std_0027,ORD_STD_0027,16211.9,324.24,58.36,15829.3,UTR9026STD0027,2026-08-23 09:25:00
pay_std_0028,ORD_STD_0028,17953.2,359.06,64.63,17529.51,UTR9026STD0028,2026-08-23 14:08:00
pay_std_0029,ORD_STD_0029,2090.91,41.82,7.53,2041.56,UTR9026STD0029,2026-08-23 09:03:00
pay_std_0030,ORD_STD_0030,11480.31,229.61,41.33,11209.37,UTR9026STD0030,2026-08-23 20:50:00
pay_std_0031,ORD_STD_0031,10937.16,218.74,39.37,10679.05,UTR9026STD0031,2026-08-23 18:24:00
pay_std_0032,ORD_STD_0032,9759.5,195.19,35.13,9529.18,UTR9026STD0032,2026-08-23 14:35:00
pay_std_0033,ORD_STD_0033,12429.93,248.6,44.75,12136.58,UTR9026STD0033,2026-08-24 04:34:00
pay_std_0034,ORD_STD_0034,13950.48,279.01,50.22,13621.25,UTR9026STD0034,2026-08-23 19:21:00
pay_std_0035,ORD_STD_0035,8108.39,162.17,29.19,7917.03,UTR9026STD0035,2026-08-23 20:29:00
pay_std_0036,ORD_STD_0036,17508.04,350.16,63.03,17094.85,UTR9026STD0036,2026-08-24 00:48:00
pay_std_0037,ORD_STD_0037,16470.99,329.42,59.3,16082.27,UTR9026STD0037,2026-08-24 04:40:00
pay_std_0038,ORD_STD_0038,11156.98,223.14,40.17,10893.67,UTR9026STD0038,2026-08-24 07:09:00
pay_std_0039,ORD_STD_0039,9939.13,198.78,35.78,9704.57,UTR9026STD0039,2026-08-24 12:49:00
pay_std_0040,ORD_STD_0040,10981.53,219.63,39.53,10722.37,UTR9026STD0040,2026-08-24 06:31:00
pay_std_0041,ORD_STD_0041,16759.23,335.18,60.33,16363.72,UTR9026STD0041,2026-08-24 11:19:00
pay_std_0042,ORD_STD_0042,4715.25,94.31,16.98,4603.96,UTR9026STD0042,2026-08-24 11:36:00
pay_std_0043,ORD_STD_0043,13308.38,266.17,47.91,12994.3,UTR9026STD0043,2026-08-25 00:04:00
pay_std_0044,ORD_STD_0044,13902.1,278.04,50.05,13574.01,UTR9026STD0044,2026-08-25 00:08:00
pay_std_0045,ORD_STD_0045,17069.85,341.4,61.45,16667.0,UTR9026STD0045,2026-08-24 20:10:00
pay_std_0046,ORD_STD_0046,15767.58,315.35,56.76,15395.47,UTR9026STD0046,2026-08-24 21:27:00
pay_std_0047,ORD_STD_0047,13717.14,274.34,49.38,13393.42,UTR9026STD0047,2026-08-24 23:44:00
pay_std_0048,ORD_STD_0048,7482.37,149.65,26.94,7305.78,UTR9026STD0048,2026-08-25 08:42:00
pay_std_0049,ORD_STD_0049,8166.75,163.34,29.4,7974.01,UTR9026STD0049,2026-08-25 07:33:00
pay_std_0050,ORD_STD_0050,4838.35,96.77,17.42,4724.16,UTR9026STD0050,2026-08-25 07:04:00
pay_std_0051,ORD_STD_0051,10795.4,215.91,38.86,10540.63,UTR9026STD0051,2026-08-25 13:14:00
pay_std_0052,ORD_STD_0052,625.84,12.52,2.25,611.07,UTR9026STD0052,2026-08-25 16:45:00
pay_std_0053,ORD_STD_0053,4506.48,90.13,16.22,4400.13,UTR9026STD0053,2026-08-25 13:02:00
pay_std_0054,ORD_STD_0054,9497.73,189.95,34.19,9273.59,UTR9026STD0054,2026-08-25 20:17:00
pay_std_0055,ORD_STD_0055,4249.14,84.98,15.3,4148.86,UTR9026STD0055,2026-08-25 23:08:00
pay_std_0056,ORD_STD_0056,4752.45,95.05,17.11,4640.29,UTR9026STD0056,2026-08-26 02:30:00
pay_std_0057,ORD_STD_0057,3832.17,76.64,13.8,3741.73,UTR9026STD0057,2026-08-26 02:06:00
pay_std_0058,ORD_STD_0058,6700.21,134.0,24.12,6542.09,UTR9026STD0058,2026-08-26 01:26:00
pay_std_0059,ORD_STD_0059,12283.88,245.68,44.22,11993.98,UTR9026STD0059,2026-08-25 21:41:00
pay_std_0060,ORD_STD_0060,7545.87,150.92,27.17,7367.78,UTR9026STD0060,2026-08-26 10:21:00
pay_std_0061,ORD_STD_0061,4851.49,97.03,17.47,4736.99,UTR9026STD0061,2026-08-26 08:12:00
pay_std_0062,ORD_STD_0062,2953.19,59.06,10.63,2883.5,UTR9026STD0062,2026-08-26 06:11:00
pay_std_0063,ORD_STD_0063,4871.61,97.43,17.54,4756.64,UTR9026STD0063,2026-08-26 11:04:00
pay_std_0064,ORD_STD_0064,2213.4,44.27,7.97,2161.16,UTR9026STD0064,2026-08-26 14:41:00
pay_std_0065,ORD_STD_0065,17457.43,349.15,62.85,17045.43,UTR9026STD0065,2026-08-26 11:48:00
pay_std_0066,ORD_STD_0066,7612.25,152.25,27.4,7432.6,UTR9026STD0066,2026-08-26 13:30:00
pay_std_0067,ORD_STD_0067,16292.75,325.86,58.65,15908.24,UTR9026STD0067,2026-08-26 18:10:00
pay_std_0068,ORD_STD_0068,17742.9,354.86,63.87,17324.17,UTR9026STD0068,2026-08-27 02:16:00
pay_std_0069,ORD_STD_0069,5491.86,109.84,19.77,5362.25,UTR9026STD0069,2026-08-27 03:44:00
pay_std_0070,ORD_STD_0070,12082.75,241.66,43.5,11797.59,UTR9026STD0070,2026-08-26 20:31:00
pay_std_0071,ORD_STD_0071,5692.39,113.85,20.49,5558.05,UTR9026STD0071,2026-08-27 05:03:00
pay_std_0072,ORD_STD_0072,1566.76,31.34,5.64,1529.78,UTR9026STD0072,2026-08-26 22:20:00
pay_std_0073,ORD_STD_0073,10723.11,214.46,38.6,10470.05,UTR9026STD0073,2026-08-27 08:32:00
pay_std_0074,ORD_STD_0074,1495.39,29.91,5.38,1460.1,UTR9026STD0074,2026-08-27 03:32:00
pay_std_0075,ORD_STD_0075,1699.12,33.98,6.12,1659.02,UTR9026STD0075,2026-08-27 14:04:00
pay_std_0076,ORD_STD_0076,7566.07,151.32,27.24,7387.51,UTR9026STD0076,2026-08-27 09:36:00
pay_std_0077,ORD_STD_0077,11339.18,226.78,40.82,11071.58,UTR9026STD0077,2026-08-27 18:26:00
pay_std_0078,ORD_STD_0078,6036.47,120.73,21.73,5894.01,UTR9026STD0078,2026-08-27 13:16:00
pay_std_0079,ORD_STD_0079,4677.0,93.54,16.84,4566.62,UTR9026STD0079,2026-08-27 14:25:00
pay_std_0080,ORD_STD_0080,8501.43,170.03,30.61,8300.79,UTR9026STD0080,2026-08-27 15:48:00
pay_std_0081,ORD_STD_0081,8520.0,170.4,30.67,8318.93,UTR9026STD0081,2026-08-27 17:36:00
pay_std_0082,ORD_STD_0082,9908.6,198.17,35.67,9674.76,UTR9026STD0082,2026-08-27 22:32:00
pay_fee_001,ORD_FEE_001,71329.27,1069.94,192.59,70066.74,UTR9026FEE001,2026-08-28 03:00:00
pay_fee_002,ORD_FEE_002,68447.53,1026.71,184.81,67236.01,UTR9026FEE002,2026-08-28 06:00:00
pay_fee_003,ORD_FEE_003,68359.86,1025.4,184.57,67149.89,UTR9026FEE003,2026-08-28 09:00:00
pay_fee_004,ORD_FEE_004,40323.99,604.86,108.87,39610.26,UTR9026FEE004,2026-08-28 12:00:00
pay_fee_005,ORD_FEE_005,28676.08,430.14,77.43,28168.51,UTR9026FEE005,2026-08-28 15:00:00
pay_bat_001,ORD_BAT_01A+ORD_BAT_01B,17891.2,357.82,64.41,17468.97,UTR9026BAT001,2026-08-30 08:00:00
pay_bat_002,ORD_BAT_02A+ORD_BAT_02B,17816.82,356.34,64.14,17396.34,UTR9026BAT002,2026-08-30 12:00:00
pay_bat_003,ORD_BAT_03A+ORD_BAT_03B,12278.75,245.58,44.2,11988.97,UTR9026BAT003,2026-08-30 16:00:00
pay_inf_001,ORD_INF_001,11988.15,239.76,43.16,11705.23,UTR9026INF001,2026-09-03 07:00:00
pay_inf_002,ORD_INF_002,6293.17,125.86,22.65,6144.66,UTR9026INF002,2026-09-03 08:00:00
pay_inf_003,ORD_INF_003,10297.28,205.95,37.07,10054.26,UTR9026INF003,2026-09-03 09:00:00
pay_phantom_001,ORD_PHANTOM_001,8225.19,164.5,29.61,8031.08,UTR9026PHN001,2026-09-01 14:00:00
pay_phantom_002,ORD_PHANTOM_002,4604.31,92.09,16.58,4495.64,UTR9026PHN002,2026-09-01 18:00:00
