transaction_id,reconciliation_id,order_id,payment_id,utr,order_amount,gross_amount,fee,tax,net_settled,bank_credit_amount,variance,matching_result,status,tier,match_method,exception_type,confidence_score,reasoning,root_cause_reasoning,evidence_used,financial_impact,action_required,action_status,timestamp,metadata
REC_T1_pay_std_0011,REC_T1_pay_std_0011,ORD_STD_0011,pay_std_0011,UTR9026STD0011,15331.15,15331.15,306.62,55.19,14969.34,14969.34,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹306.62) + 18% GST (₹55.19) = net ₹14969.34, matching bank credit UTR UTR9026STD0011 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹306.62) + 18% GST (₹55.19) = net ₹14969.34, matching bank credit UTR UTR9026STD0011 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 08:38:00', 'settlement_date': '2026-08-22 00:38:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0012,REC_T1_pay_std_0012,ORD_STD_0012,pay_std_0012,UTR9026STD0012,13270.31,13270.31,265.41,47.77,12957.13,12957.13,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹265.41) + 18% GST (₹47.77) = net ₹12957.13, matching bank credit UTR UTR9026STD0012 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹265.41) + 18% GST (₹47.77) = net ₹12957.13, matching bank credit UTR UTR9026STD0012 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 10:34:00', 'settlement_date': '2026-08-21 23:34:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0013,REC_T1_pay_std_0013,ORD_STD_0013,pay_std_0013,UTR9026STD0013,1879.0,1879.0,37.58,6.76,1834.66,1834.66,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹37.58) + 18% GST (₹6.76) = net ₹1834.66, matching bank credit UTR UTR9026STD0013 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹37.58) + 18% GST (₹6.76) = net ₹1834.66, matching bank credit UTR UTR9026STD0013 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 12:18:00', 'settlement_date': '2026-08-22 10:18:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0014,REC_T1_pay_std_0014,ORD_STD_0014,pay_std_0014,UTR9026STD0014,10603.66,10603.66,212.07,38.17,10353.42,10353.42,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹212.07) + 18% GST (₹38.17) = net ₹10353.42, matching bank credit UTR UTR9026STD0014 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹212.07) + 18% GST (₹38.17) = net ₹10353.42, matching bank credit UTR UTR9026STD0014 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 14:45:00', 'settlement_date': '2026-08-22 03:45:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0015,REC_T1_pay_std_0015,ORD_STD_0015,pay_std_0015,UTR9026STD0015,12072.11,12072.11,241.44,43.46,11787.21,11787.21,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹241.44) + 18% GST (₹43.46) = net ₹11787.21, matching bank credit UTR UTR9026STD0015 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹241.44) + 18% GST (₹43.46) = net ₹11787.21, matching bank credit UTR UTR9026STD0015 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 16:49:00', 'settlement_date': '2026-08-22 08:49:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0016,REC_T1_pay_std_0016,ORD_STD_0016,pay_std_0016,UTR9026STD0016,15468.06,15468.06,309.36,55.68,15103.02,15103.02,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹309.36) + 18% GST (₹55.68) = net ₹15103.02, matching bank credit UTR UTR9026STD0016 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹309.36) + 18% GST (₹55.68) = net ₹15103.02, matching bank credit UTR UTR9026STD0016 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 18:06:00', 'settlement_date': '2026-08-22 12:06:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0017,REC_T1_pay_std_0017,ORD_STD_0017,pay_std_0017,UTR9026STD0017,8434.68,8434.68,168.69,30.36,8235.63,8235.63,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹168.69) + 18% GST (₹30.36) = net ₹8235.63, matching bank credit UTR UTR9026STD0017 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹168.69) + 18% GST (₹30.36) = net ₹8235.63, matching bank credit UTR UTR9026STD0017 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 20:23:00', 'settlement_date': '2026-08-22 10:23:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0018,REC_T1_pay_std_0018,ORD_STD_0018,pay_std_0018,UTR9026STD0018,6717.24,6717.24,134.34,24.18,6558.72,6558.72,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹134.34) + 18% GST (₹24.18) = net ₹6558.72, matching bank credit UTR UTR9026STD0018 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹134.34) + 18% GST (₹24.18) = net ₹6558.72, matching bank credit UTR UTR9026STD0018 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 22:42:00', 'settlement_date': '2026-08-22 14:42:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0019,REC_T1_pay_std_0019,ORD_STD_0019,pay_std_0019,UTR9026STD0019,11159.79,11159.79,223.2,40.18,10896.41,10896.41,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹223.20) + 18% GST (₹40.18) = net ₹10896.41, matching bank credit UTR UTR9026STD0019 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹223.20) + 18% GST (₹40.18) = net ₹10896.41, matching bank credit UTR UTR9026STD0019 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 00:10:00', 'settlement_date': '2026-08-22 20:10:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0020,REC_T1_pay_std_0020,ORD_STD_0020,pay_std_0020,UTR9026STD0020,3359.54,3359.54,67.19,12.09,3280.26,3280.26,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹67.19) + 18% GST (₹12.09) = net ₹3280.26, matching bank credit UTR UTR9026STD0020 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹67.19) + 18% GST (₹12.09) = net ₹3280.26, matching bank credit UTR UTR9026STD0020 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 02:24:00', 'settlement_date': '2026-08-22 18:24:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0021,REC_T1_pay_std_0021,ORD_STD_0021,pay_std_0021,UTR9026STD0021,4343.27,4343.27,86.87,15.64,4240.76,4240.76,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹86.87) + 18% GST (₹15.64) = net ₹4240.76, matching bank credit UTR UTR9026STD0021 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹86.87) + 18% GST (₹15.64) = net ₹4240.76, matching bank credit UTR UTR9026STD0021 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 04:20:00', 'settlement_date': '2026-08-23 04:20:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0022,REC_T1_pay_std_0022,ORD_STD_0022,pay_std_0022,UTR9026STD0022,4508.34,4508.34,90.17,16.23,4401.94,4401.94,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹90.17) + 18% GST (₹16.23) = net ₹4401.94, matching bank credit UTR UTR9026STD0022 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹90.17) + 18% GST (₹16.23) = net ₹4401.94, matching bank credit UTR UTR9026STD0022 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 06:02:00', 'settlement_date': '2026-08-23 06:02:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0023,REC_T1_pay_std_0023,ORD_STD_0023,pay_std_0023,UTR9026STD0023,7520.38,7520.38,150.41,27.07,7342.9,7342.9,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹150.41) + 18% GST (₹27.07) = net ₹7342.90, matching bank credit UTR UTR9026STD0023 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹150.41) + 18% GST (₹27.07) = net ₹7342.90, matching bank credit UTR UTR9026STD0023 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 08:04:00', 'settlement_date': '2026-08-22 23:04:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0024,REC_T1_pay_std_0024,ORD_STD_0024,pay_std_0024,UTR9026STD0024,4220.96,4220.96,84.42,15.2,4121.34,4121.34,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹84.42) + 18% GST (₹15.20) = net ₹4121.34, matching bank credit UTR UTR9026STD0024 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹84.42) + 18% GST (₹15.20) = net ₹4121.34, matching bank credit UTR UTR9026STD0024 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 10:31:00', 'settlement_date': '2026-08-23 04:31:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0025,REC_T1_pay_std_0025,ORD_STD_0025,pay_std_0025,UTR9026STD0025,3000.25,3000.25,60.01,10.8,2929.44,2929.44,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹60.01) + 18% GST (₹10.80) = net ₹2929.44, matching bank credit UTR UTR9026STD0025 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹60.01) + 18% GST (₹10.80) = net ₹2929.44, matching bank credit UTR UTR9026STD0025 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 12:08:00', 'settlement_date': '2026-08-23 03:08:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0026,REC_T1_pay_std_0026,ORD_STD_0026,pay_std_0026,UTR9026STD0026,9932.1,9932.1,198.64,35.76,9697.7,9697.7,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹198.64) + 18% GST (₹35.76) = net ₹9697.70, matching bank credit UTR UTR9026STD0026 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹198.64) + 18% GST (₹35.76) = net ₹9697.70, matching bank credit UTR UTR9026STD0026 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 14:47:00', 'settlement_date': '2026-08-23 11:47:00', 'bank_txn_date': '2026-08-23'}"
REC_T1_pay_std_0027,REC_T1_pay_std_0027,ORD_STD_0027,pay_std_0027,UTR9026STD0027,16211.9,16211.9,324.24,58.36,15829.3,15829.3,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹324.24) + 18% GST (₹58.36) = net ₹15829.30, matching bank credit UTR UTR9026STD0027 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹324.24) + 18% GST (₹58.36) = net ₹15829.30, matching bank credit UTR UTR9026STD0027 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-22 16:25:00', 'settlement_date': '2026-08-23 09:25:00', 'bank_txn_date': '2026-08-23'}"
